tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
ACR000ETT18300010,supply design development customization delivery installation testing commissioning and maintenance of a variable capital companies vcc system for accounting and corporate regulartory authority,Accounting And Corporate Regulatory Authority,11/6/2019,Awarded to Suppliers,AZAAS PTE. LTD.,2305880
ACR000ETT19300001,provision of consultancy services for strategic business processes reengineering sbpr and acras it infrastructure,Accounting And Corporate Regulatory Authority,30/4/2019,Awarded to Suppliers,ACCENTURE SG SERVICES PTE. LTD.,2035000
ACR000ETT19300002,supply delivery design customisation installation configuration testing commissioning of a fully operational bizfile with an option for maintenance,Accounting And Corporate Regulatory Authority,29/8/2019,Awarded to Suppliers,TECH MAHINDRA LIMITED (SINGAPORE BRANCH),30700373.87
ACR000ETT19300003,provision of media monitoring services for a period of two years with option to extend for up to one year,Accounting And Corporate Regulatory Authority,6/8/2019,Awarded to Suppliers,INSIGHTMATRIX,178800
ACR000ETT19300004,invitation to tender for the provision of call centre services for accounting and corporate regulatory authority for a period of 3 years with option of up to 2 extensions of 2 years each,Accounting And Corporate Regulatory Authority,5/11/2019,Awarded to Suppliers,TDCX (SG) PTE. LTD.,8566830.84
ACR000ETT20300002,invitation to tender for the provision of services for compliance review programme,Accounting And Corporate Regulatory Authority,10/11/2020,Awarded by Items,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,285000
ACR000ETT20300003,provision of an it security controls and operations audit on each of acras 4 authorised information service providers,Accounting And Corporate Regulatory Authority,9/12/2020,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,182400
ACR000ETT20300004,conceptualization design build setup of new office migration and reinstatement of existing offices for accounting and corporate regulatory authority acra singapore accountancy commission sac and accounting standards council asc,Accounting And Corporate Regulatory Authority,9/3/2021,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,3071056.4
ACR000ETT21000001,design development customization delivery installation testing and commissioning a new fully operational unified data analytics platform udap system with an option for maintenance and enhancement services for accounting and corporate regulartory authority,Accounting And Corporate Regulatory Authority,6/9/2021,Awarded to Suppliers,ALPHA ZETTA PTE. LTD.,2321600
ACR000ETT21000003,supply delivery installation testing commissioning of a fully operational business registry  regulatory system with an option for maintenance,Accounting And Corporate Regulatory Authority,14/4/2022,Awarded to Suppliers,ACCENTURE SG SERVICES PTE. LTD.,108555723
ACR000ETT21000004,invitation to tender for the application software maintenance and support for bizfinx system hosted in the government commercial cloud for accounting and corporate regulartory authority,Accounting And Corporate Regulatory Authority,13/4/2022,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,4503450
ACR000ETT22000001,for provision of the application software maintenance and support services for service request management system and regulatory investigation esystem,Accounting And Corporate Regulatory Authority,28/6/2022,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.,539600
ACR000ETT22000003,invitation to tender for the provision of the application software maintenance and support services for eregistry system,Accounting And Corporate Regulatory Authority,19/3/2023,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,987850
ACR000ETT23000001,invitation to tender for the provision of services for compliance review programme,Accounting And Corporate Regulatory Authority,21/6/2023,Awarded by Items,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,850000
ACR000ETT23000002,supply delivery support of database activity monitoring dam software with an option for maintenance of software,Accounting And Corporate Regulatory Authority,18/1/2024,Awarded to Suppliers,NXGEN COMMUNICATIONS PTE LTD,310676.63
AGC000ETT19300004,itt for the provision of maintenance services for existing security systems and provision of facial recognition system and selfhelp visitor registration kiosks for the attorneygeneral chambers,Attorney-General's Chambers,19/6/2019,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,1512081
