NAME,CATEGORY,SUBCAT,NAME_CLEAN
"MINISTRY OF CULTURE, COMMUNITY AND YOUTH (MCCY)",MINISTRY,MINISTRY,ministry of culture community and youth
MINISTRY OF DEFENCE (MINDEF),MINISTRY,MINISTRY,ministry of defence
MINISTRY OF DIGITAL DEVELOPMENT AND INFORMATION (MDDI),MINISTRY,MINISTRY,ministry of digital development and information
MINISTRY OF EDUCATION (MOE),MINISTRY,MINISTRY,ministry of education
MINISTRY OF FINANCE (MOF),MINISTRY,MINISTRY,ministry of finance
MINISTRY OF FOREIGN AFFAIRS (MFA),MINISTRY,MINISTRY,ministry of foreign affairs
MINISTRY OF HEALTH (MOH),MINISTRY,MINISTRY,ministry of health
MINISTRY OF HOME AFFAIRS (MHA),MINISTRY,MINISTRY,ministry of home affairs
MINISTRY OF LAW (MINLAW),MINISTRY,MINISTRY,ministry of law
MINISTRY OF MANPOWER (MOM),MINISTRY,MINISTRY,ministry of manpower
MINISTRY OF NATIONAL DEVELOPMENT (MND),MINISTRY,MINISTRY,ministry of national development
MINISTRY OF SOCIAL AND FAMILY DEVELOPMENT (MSF),MINISTRY,MINISTRY,ministry of social and family development
MINISTRY OF SUSTAINABILITY AND THE ENVIRONMENT (MSE),MINISTRY,MINISTRY,ministry of sustainability and the environment
MINISTRY OF TRADE AND INDUSTRY (MTI),MINISTRY,MINISTRY,ministry of trade and industry
MINISTRY OF TRANSPORT (MOT),MINISTRY,MINISTRY,ministry of transport
PRIME MINISTER'S OFFICE (PMO),MINISTRY,MINISTRY,prime ministers office
ACCOUNTING AND CORPORATE REGULATORY AUTHORITY (ACRA),STATUTORY_BOARDS,STATUTORY_BOARDS,accounting and corporate regulatory authority
"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH (A*STAR)",STATUTORY_BOARDS,STATUTORY_BOARDS,agency for science technology and research
BOARD OF ARCHITECTS (BOA),STATUTORY_BOARDS,STATUTORY_BOARDS,board of architects
