NAME,CATEGORY,SUBCAT
"MINISTRY OF CULTURE, COMMUNITY AND YOUTH (MCCY)",MINISTRY,
MINISTRY OF DEFENCE (MINDEF),MINISTRY,
MINISTRY OF DIGITAL DEVELOPMENT AND INFORMATION (MDDI),MINISTRY,
MINISTRY OF EDUCATION (MOE),MINISTRY,
MINISTRY OF FINANCE (MOF),MINISTRY,
MINISTRY OF FOREIGN AFFAIRS (MFA),MINISTRY,
MINISTRY OF HEALTH (MOH),MINISTRY,
MINISTRY OF HOME AFFAIRS (MHA),MINISTRY,
MINISTRY OF LAW (MINLAW),MINISTRY,
MINISTRY OF MANPOWER (MOM),MINISTRY,
MINISTRY OF NATIONAL DEVELOPMENT (MND),MINISTRY,
MINISTRY OF SOCIAL AND FAMILY DEVELOPMENT (MSF),MINISTRY,
MINISTRY OF SUSTAINABILITY AND THE ENVIRONMENT (MSE),MINISTRY,
MINISTRY OF TRADE AND INDUSTRY (MTI),MINISTRY,
MINISTRY OF TRANSPORT (MOT),MINISTRY,
PRIME MINISTER'S OFFICE (PMO),MINISTRY,
ACCOUNTING AND CORPORATE REGULATORY AUTHORITY (ACRA),STATUTORY_BOARDS,
"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH (A*STAR)",STATUTORY_BOARDS,
BOARD OF ARCHITECTS (BOA),STATUTORY_BOARDS,
BUILDING AND CONSTRUCTION AUTHORITY (BCA),STATUTORY_BOARDS,
CENTRAL PROVIDENT FUND BOARD (CPFB),STATUTORY_BOARDS,
CIVIL AVIATION AUTHORITY OF SINGAPORE (CAAS),STATUTORY_BOARDS,
CIVIL SERVICE COLLEGE (CSC),STATUTORY_BOARDS,
COMPETITION AND CONSUMER COMMISSION OF SINGAPORE (CCCS),STATUTORY_BOARDS,
COUNCIL FOR ESTATE AGENCIES (CEA),STATUTORY_BOARDS,
DEFENCE SCIENCE AND TECHNOLOGY AGENCY (DSTA),STATUTORY_BOARDS,
ECONOMIC DEVELOPMENT BOARD (EDB),STATUTORY_BOARDS,
ENERGY MARKET AUTHORITY (EMA),STATUTORY_BOARDS,
ENTERPRISE SINGAPORE (ENTERPRISESG),STATUTORY_BOARDS,
GAMBLING REGULATORY AUTHORITY OF SINGAPORE (GRA),STATUTORY_BOARDS,
GOVERNMENT TECHNOLOGY AGENCY (GOVTECH),STATUTORY_BOARDS,
HEALTH PROMOTION BOARD (HPB),STATUTORY_BOARDS,
HEALTH SCIENCES AUTHORITY (HSA),STATUTORY_BOARDS,
HOME TEAM SCIENCE AND TECHNOLOGY AGENCY (HTX),STATUTORY_BOARDS,
HOTELS LICENSING BOARD (HLB),STATUTORY_BOARDS,
HOUSING & DEVELOPMENT BOARD (HDB),STATUTORY_BOARDS,
INFO-COMMUNICATIONS MEDIA DEVELOPMENT AUTHORITY (IMDA),STATUTORY_BOARDS,
INLAND REVENUE AUTHORITY OF SINGAPORE (IRAS),STATUTORY_BOARDS,
INSTITUTE OF TECHNICAL EDUCATION (ITE),STATUTORY_BOARDS,
INTELLECTUAL PROPERTY OFFICE OF SINGAPORE (IPOS),STATUTORY_BOARDS,
ISEAS-YUSOF ISHAK INSTITUTE (ISEAS),STATUTORY_BOARDS,
JTC CORPORATION (JTC),STATUTORY_BOARDS,
LAND SURVEYORS BOARD (LSB),STATUTORY_BOARDS,
LAND TRANSPORT AUTHORITY (LTA),STATUTORY_BOARDS,
MAJLIS UGAMA ISLAM SINGAPURA (MUIS),STATUTORY_BOARDS,
MARITIME AND PORT AUTHORITY OF SINGAPORE (MPA),STATUTORY_BOARDS,
MONETARY AUTHORITY OF SINGAPORE (MAS),STATUTORY_BOARDS,
NANYANG POLYTECHNIC (NYP),STATUTORY_BOARDS,
NATIONAL ARTS COUNCIL (NAC),STATUTORY_BOARDS,
NATIONAL COUNCIL OF SOCIAL SERVICE (NCSS),STATUTORY_BOARDS,
NATIONAL ENVIRONMENT AGENCY (NEA),STATUTORY_BOARDS,
NATIONAL HERITAGE BOARD (NHB),STATUTORY_BOARDS,
NATIONAL LIBRARY BOARD (NLB),STATUTORY_BOARDS,
NATIONAL PARKS BOARD (NPARKS),STATUTORY_BOARDS,
NGEE ANN POLYTECHNIC (NP),STATUTORY_BOARDS,
PEOPLE'S ASSOCIATION (PA),STATUTORY_BOARDS,
"PROFESSIONAL ENGINEERS BOARD, SINGAPORE (PEB)",STATUTORY_BOARDS,
"PUB, Singapore's National Water Agency (PUB)",STATUTORY_BOARDS,
PUBLIC TRANSPORT COUNCIL (PTC),STATUTORY_BOARDS,
REPUBLIC POLYTECHNIC (RP),STATUTORY_BOARDS,
SCIENCE CENTRE BOARD (SCB),STATUTORY_BOARDS,
SENTOSA DEVELOPMENT CORPORATION (SDC),STATUTORY_BOARDS,
SINGAPORE DENTAL COUNCIL (SDC),STATUTORY_BOARDS,
SINGAPORE EXAMINATIONS AND ASSESSMENT BOARD (SEAB),STATUTORY_BOARDS,
SINGAPORE FOOD AGENCY (SFA),STATUTORY_BOARDS,
SINGAPORE LABOUR FOUNDATION (SLF),STATUTORY_BOARDS,
SINGAPORE LAND AUTHORITY (SLA),STATUTORY_BOARDS,
SINGAPORE MEDICAL COUNCIL (SMC),STATUTORY_BOARDS,
SINGAPORE NURSING BOARD (SNB),STATUTORY_BOARDS,
SINGAPORE PHARMACY COUNCIL (SPC),STATUTORY_BOARDS,
SINGAPORE POLYTECHNIC (SP),STATUTORY_BOARDS,
SINGAPORE TOURISM BOARD (STB),STATUTORY_BOARDS,
SKILLSFUTURE SINGAPORE (SSG),STATUTORY_BOARDS,
SPORT SINGAPORE (SportSG),STATUTORY_BOARDS,
TEMASEK POLYTECHNIC (TP),STATUTORY_BOARDS,
TOTE BOARD (TOTE BOARD),STATUTORY_BOARDS,
TRADITIONAL CHINESE MEDICINE PRACTITIONERS BOARD (TCMPB),STATUTORY_BOARDS,
URBAN REDEVELOPMENT AUTHORITY (URA),STATUTORY_BOARDS,
WORKFORCE SINGAPORE (WSG),STATUTORY_BOARDS,
