tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
JTC000ETT22000128,1  1 year term contract for rectification works to existing roads for handing over to lta,Jurong Town Corporation,19/5/2023,Awarded by Items,SWEE BUILDERS PTE LTD,2
JTC000ETT22000128,1  1 year term contract for rectification works to existing roads for handing over to lta,Jurong Town Corporation,19/5/2023,Awarded by Items,TONG SHING CONTRACTORS PRIVATE LIMITED,2
NST000ETT21000096,1 courier services to transport covid19 samples swab supplies and consumables between swab sites other laboratories ie national public health laboratoriesnphl defence science organizationdso etc and stronghold diagnostics laboratory sdl on the daily basis a office hours 830am to 600pm b after office hours c weekends  public holidays,"Agency for Science, Technology and Research",30/11/2021,Awarded by Items,GIS HEALTHCARE COURIERS PTE. LTD.,234533
NST000ETT21000096,1 courier services to transport covid19 samples swab supplies and consumables between swab sites other laboratories ie national public health laboratoriesnphl defence science organizationdso etc and stronghold diagnostics laboratory sdl on the daily basis a office hours 830am to 600pm b after office hours c weekends  public holidays,"Agency for Science, Technology and Research",30/11/2021,Awarded by Items,KY PROJECT MANAGEMENT SERVICES,196733
NST000ETT21000084,1 thermal transfer printer labels a rfid compatibility b durable designed for laboratory identification c matte white polyester material has a permanent acrylic adhesive and is thermal transfer printable 2 thermal transfer printer ribbons a chemical and abrasion resistant b size 236 in x 984 ft c rfid compatibility d color black,"Agency for Science, Technology and Research",2/11/2021,Awarded by Items,FLEMINGS SAFETY PTE. LTD.,72603
NST000ETT21000084,1 thermal transfer printer labels a rfid compatibility b durable designed for laboratory identification c matte white polyester material has a permanent acrylic adhesive and is thermal transfer printable 2 thermal transfer printer ribbons a chemical and abrasion resistant b size 236 in x 984 ft c rfid compatibility d color black,"Agency for Science, Technology and Research",2/11/2021,Awarded by Items,SCIMED (ASIA) PTE LTD,234150
PAS000ETT23000086,1 this itt is structured to be awarded as a period contract to invite interested contractors to submit quotations for the provision of lifesaving training courses and demonstration for a period of two and a half years with an option to extend for an additional one year 2 through conducting training for residents grls volunteers and pa staff paepd will support the execution of the sgsecure programme for the mha to strengthen the community responsiveness for emergencies,People's Association,21/11/2023,Awarded by Items,MEDLINK HEALTHCARE GROUP PTE. LTD.,261420
PAS000ETT23000086,1 this itt is structured to be awarded as a period contract to invite interested contractors to submit quotations for the provision of lifesaving training courses and demonstration for a period of two and a half years with an option to extend for an additional one year 2 through conducting training for residents grls volunteers and pa staff paepd will support the execution of the sgsecure programme for the mha to strengthen the community responsiveness for emergencies,People's Association,21/11/2023,Awarded by Items,MHI TRAINING MASTER,856640
PAS000ETT23000086,1 this itt is structured to be awarded as a period contract to invite interested contractors to submit quotations for the provision of lifesaving training courses and demonstration for a period of two and a half years with an option to extend for an additional one year 2 through conducting training for residents grls volunteers and pa staff paepd will support the execution of the sgsecure programme for the mha to strengthen the community responsiveness for emergencies,People's Association,21/11/2023,Awarded by Items,SINGAPORE FIRST AID TRAINING CENTRE PTE. LTD.,774240
PAS000ETT23000086,1 this itt is structured to be awarded as a period contract to invite interested contractors to submit quotations for the provision of lifesaving training courses and demonstration for a period of two and a half years with an option to extend for an additional one year 2 through conducting training for residents grls volunteers and pa staff paepd will support the execution of the sgsecure programme for the mha to strengthen the community responsiveness for emergencies,People's Association,21/11/2023,Awarded by Items,SINGAPORE RESCUE TRAINING CENTRE PTE. LTD.,82500
JTC000ETT19300027,1 year term contract for provision of 1 number of mechanical  electrical engineer for conducting quality inspections 1 number of electrical engineer 3 numbers of technical executive drafter 2 cs and 1 me and 1 number of administrative executive to jtc building and infrastructure projects,Jurong Town Corporation,6/6/2019,Awarded by Items,BUREAU VERITAS BUILDINGS & INFRASTRUCTURE PTE. LTD.,132468
JTC000ETT19300027,1 year term contract for provision of 1 number of mechanical  electrical engineer for conducting quality inspections 1 number of electrical engineer 3 numbers of technical executive drafter 2 cs and 1 me and 1 number of administrative executive to jtc building and infrastructure projects,Jurong Town Corporation,6/6/2019,Awarded by Items,ITCAN PTE. LIMITED,1
JTC000ETT19300027,1 year term contract for provision of 1 number of mechanical  electrical engineer for conducting quality inspections 1 number of electrical engineer 3 numbers of technical executive drafter 2 cs and 1 me and 1 number of administrative executive to jtc building and infrastructure projects,Jurong Town Corporation,6/6/2019,Awarded by Items,NSEARCH GLOBAL PTE. LTD.,1
JTC000ETT19300027,1 year term contract for provision of 1 number of mechanical  electrical engineer for conducting quality inspections 1 number of electrical engineer 3 numbers of technical executive drafter 2 cs and 1 me and 1 number of administrative executive to jtc building and infrastructure projects,Jurong Town Corporation,6/6/2019,Awarded by Items,WSH EXPERTS PTE. LTD.,2
JTC000ETT19300139,11 year term contract for minor civil engineering works,Jurong Town Corporation,20/1/2020,Awarded by Items,CITI CONSTRUCTION & ENGINEERING PTE. LTD.,2
JTC000ETT19300139,11 year term contract for minor civil engineering works,Jurong Town Corporation,20/1/2020,Awarded by Items,TONG SHING CONTRACTORS PRIVATE LIMITED,2
MOE000ETT19300023,1year contract for the supply and delivery of teaching  learning resources to moe kindergartens with option to extend up to 3 more years,Ministry of Education,19/8/2019,Awarded by Items,BEACON EDUCATIONAL SUPPLIES PTE LTD,153099
MOE000ETT19300023,1year contract for the supply and delivery of teaching  learning resources to moe kindergartens with option to extend up to 3 more years,Ministry of Education,19/8/2019,Awarded by Items,CHILDREN'S COSTUME SPECIALIST,19786.13
MOE000ETT19300023,1year contract for the supply and delivery of teaching  learning resources to moe kindergartens with option to extend up to 3 more years,Ministry of Education,19/8/2019,Awarded by Items,HONG SENG SPORTS INDUSTRIES PTE LTD,66581
MOE000ETT19300023,1year contract for the supply and delivery of teaching  learning resources to moe kindergartens with option to extend up to 3 more years,Ministry of Education,19/8/2019,Awarded by Items,SEPTEMBER 21 ENTERPRISE PTE LTD,36646.08
MOE000ETT19300023,1year contract for the supply and delivery of teaching  learning resources to moe kindergartens with option to extend up to 3 more years,Ministry of Education,19/8/2019,Awarded by Items,THE HOMELAB PTE. LTD.,11390.5
JTC000ETT22000030,21 year term contract for minor civil engineering works,Jurong Town Corporation,13/6/2022,Awarded by Items,SWEE BUILDERS PTE LTD,3
JTC000ETT22000030,21 year term contract for minor civil engineering works,Jurong Town Corporation,13/6/2022,Awarded by Items,TONG SHING CONTRACTORS PRIVATE LIMITED,3
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,AQUA-TERRA SOLUTIONS PTE. LTD.,28183
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,BELL INDUSTRIAL SUPPLIES,47131.8
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,HWA SENG MOTOR COMPANY,9618
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,I-PAL COMMUNICATIONS,4153
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,INTRICON PTE. LTD.,32965
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,LEEDEN FIRE SAFETY PTE. LTD.,9600
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,O'CONNOR'S SINGAPORE PTE LTD,61100
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,SHAMA TECHNOLOGIES (S) PTE LTD,28800
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,UNICORN INTERNATIONAL PTE LIMITED,88165
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,UNITED SHIPPING SERVICES PTE. LTD.,9210
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,YEN LEE FIREWELD PTE LTD,32795
HOMHQ0ETT18300020,21year period contract for the supply of equipment spares general items and consumables,Ministry of Home Affairs-Ministry Headquarter,2/4/2019,Awarded by Items,YONG HUAT HARDWARE PTE LTD,114519.7
HOMHQ0ETT19300065,21yr period contract for the supply of miscellaneous training items,Ministry of Home Affairs-Ministry Headquarter,9/9/2020,Awarded by Items,HOCK HIN LEONG TIMBER TRADING (PTE) LTD,59625
HOMHQ0ETT19300065,21yr period contract for the supply of miscellaneous training items,Ministry of Home Affairs-Ministry Headquarter,9/9/2020,Awarded by Items,LIM'S TIMBER TRADING CO,360968
MHA00003000011811,22year period contract for the provision of vehicle cleaning services,Ministry of Home Affairs - Ministry Headquarter 1,8/6/2022,Award by interface record,G2W MOBILE CLEANING LLP,3357816
MHA00003000011811,22year period contract for the provision of vehicle cleaning services,Ministry of Home Affairs - Ministry Headquarter 1,8/6/2022,Award by interface record,MOBILE 333 PTE LTD,345748
MHA00003000011811,22year period contract for the provision of vehicle cleaning services,Ministry of Home Affairs - Ministry Headquarter 1,8/6/2022,Award by interface record,TANG K.L. ENGINEERING PTE LTD,416048
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,ALKEM COMPANY (SINGAPORE) PRIVATE LIMITED,9898.13
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,CSH EDUCATIONAL RESOURCES PTE LTD,23840.86
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,LEARNING NEEDS CENTRE PTE LTD,32818.02
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,PM ASSOCIATES PTE LTD,2642.8
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,PMS PUBLISHERS SERVICES PTE LTD,30336.65
MOE000ETT19300043,2year contract for the supply and delivery of books to kcare centres with option to extend 2 years,Ministry of Education,8/11/2019,Awarded by Items,SEPTEMBER 21 ENTERPRISE PTE LTD,9343.4
JTC000ETT20300007,2year term contract for arboriculture horticulture  turf works maintenance to jtc properties and land,Jurong Town Corporation,2/7/2020,Awarded by Items,BSG LANDSCAPE & CONSTRUCTION PTE. LTD.,597902.4
JTC000ETT20300007,2year term contract for arboriculture horticulture  turf works maintenance to jtc properties and land,Jurong Town Corporation,2/7/2020,Awarded by Items,PRINCE'S LANDSCAPE PTE. LTD.,581168
JTC000ETT19300126,2year term contract for cadastral surveys,Jurong Town Corporation,25/11/2019,Awarded by Items,SURBANA JURONG CONSULTANTS PTE. LTD.,3
JTC000ETT23000079,2year term contract for cadastral surveys,Jurong Town Corporation,21/11/2023,Awarded by Items,SURBANA JURONG CONSULTANTS PTE. LTD.,2
JTC000ETT23000079,2year term contract for cadastral surveys,Jurong Town Corporation,21/11/2023,Awarded by Items,UNITED SURVEYORS PTE LTD,1
JTC000ETT19300080,2year term contract for cleaning and conservancy services at various jtc industrial estates including vacant lands and roads,Jurong Town Corporation,26/8/2019,Awarded by Items,800 SUPER WASTE MANAGEMENT PTE LTD,10132320
JTC000ETT19300080,2year term contract for cleaning and conservancy services at various jtc industrial estates including vacant lands and roads,Jurong Town Corporation,26/8/2019,Awarded by Items,THENG LIANG LEE SERVICES PTE LTD,6815050
JTC000ETT21000053,2year term contract for cleaning and conservancy services at various jtc industrial estates including vacant lands and roads,Jurong Town Corporation,11/10/2021,Awarded by Items,800 SUPER WASTE MANAGEMENT PTE LTD,6202302
JTC000ETT21000053,2year term contract for cleaning and conservancy services at various jtc industrial estates including vacant lands and roads,Jurong Town Corporation,11/10/2021,Awarded by Items,LS 2 SERVICES PTE LTD,11388000
JTC000ETT19300148,2year term contract for geophysical and survey works for jtc estates,Jurong Town Corporation,28/1/2020,Awarded by Items,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,1
JTC000ETT19300148,2year term contract for geophysical and survey works for jtc estates,Jurong Town Corporation,28/1/2020,Awarded by Items,SOIL INVESTIGATION PTE. LIMITED,1
JTC000ETT22000023,2year term contract for geophysical and survey works for jtc estates,Jurong Town Corporation,13/5/2022,Awarded by Items,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,1
JTC000ETT22000023,2year term contract for geophysical and survey works for jtc estates,Jurong Town Corporation,13/5/2022,Awarded by Items,SOIL INVESTIGATION PTE. LIMITED,1
JTC000ETT20300165,2year term contract for provision of resident site supervisors for jtcs building and infrastructure projects year 2021 to 2023,Jurong Town Corporation,26/3/2021,Awarded by Items,BUREAU VERITAS BUILDINGS & INFRASTRUCTURE PTE. LTD.,31424
JTC000ETT20300165,2year term contract for provision of resident site supervisors for jtcs building and infrastructure projects year 2021 to 2023,Jurong Town Corporation,26/3/2021,Awarded by Items,CONSTRUCTION PROFESSIONALS PTE. LTD.,103000
JTC000ETT20300165,2year term contract for provision of resident site supervisors for jtcs building and infrastructure projects year 2021 to 2023,Jurong Town Corporation,26/3/2021,Awarded by Items,SMM PTE. LTD.,64150
JTC000ETT22000135,2year term contract for resident site supervisors for jtcs building and infrastructure projects year 2023 to 2025,Jurong Town Corporation,31/3/2023,Awarded by Items,RCY PTE. LTD.,105444
JTC000ETT22000135,2year term contract for resident site supervisors for jtcs building and infrastructure projects year 2023 to 2025,Jurong Town Corporation,31/3/2023,Awarded by Items,SMM PTE. LTD.,99400
JTC000ETT19300095,2year term contract for soil investigation works for jtc estates,Jurong Town Corporation,27/9/2019,Awarded by Items,ELEMENT GEOTECHNICAL TESTING (S) PTE. LTD.,8
JTC000ETT19300095,2year term contract for soil investigation works for jtc estates,Jurong Town Corporation,27/9/2019,Awarded by Items,SOIL INVESTIGATION PTE. LIMITED,1
SPC000ETT20300022,3year firm  1year option framework agreement for the provision of legal services to sport singapore,Singapore Sports Council (Sport Singapore) - SPC,15/2/2021,Awarded by Items,ALLEN & GLEDHILL LLP,4680
SPC000ETT20300022,3year firm  1year option framework agreement for the provision of legal services to sport singapore,Singapore Sports Council (Sport Singapore) - SPC,15/2/2021,Awarded by Items,HARRY ELIAS PARTNERSHIP LLP,4200
SPC000ETT20300022,3year firm  1year option framework agreement for the provision of legal services to sport singapore,Singapore Sports Council (Sport Singapore) - SPC,15/2/2021,Awarded by Items,RAJAH & TANN SINGAPORE LLP,4400
SPC000ETT20300022,3year firm  1year option framework agreement for the provision of legal services to sport singapore,Singapore Sports Council (Sport Singapore) - SPC,15/2/2021,Awarded by Items,WITHERS KHATTARWONG LLP,4400
SPC000ETT20300022,3year firm  1year option framework agreement for the provision of legal services to sport singapore,Singapore Sports Council (Sport Singapore) - SPC,15/2/2021,Awarded by Items,WONGPARTNERSHIP LLP,4800
HOMHQ0ETT18300162,3year period contract for supply of art materials and tools,Ministry of Home Affairs-Ministry Headquarter,17/9/2019,Awarded by Items,CHOONG MARKETING,25185.18
HOMHQ0ETT18300162,3year period contract for supply of art materials and tools,Ministry of Home Affairs-Ministry Headquarter,17/9/2019,Awarded by Items,PARKLANE ART FRAMER AND TRADING,11556
HOMHQ0ETT18300162,3year period contract for supply of art materials and tools,Ministry of Home Affairs-Ministry Headquarter,17/9/2019,Awarded by Items,STRAITS ART CO. PTE. LTD.,15990.3
RPO000ETT23000009,3year period contract for the provision of travel related services for students overseas travel for oir,Republic Polytechnic,19/10/2023,Awarded by Items,AMAZING EXPLORER PTE. LTD.,30
RPO000ETT23000009,3year period contract for the provision of travel related services for students overseas travel for oir,Republic Polytechnic,19/10/2023,Awarded by Items,GLOBAL INTERNATIONAL TRAVEL PTE. LTD.,25
RPO000ETT23000009,3year period contract for the provision of travel related services for students overseas travel for oir,Republic Polytechnic,19/10/2023,Awarded by Items,GLOBAL TRAVEL EXPERTS PTE. LTD.,5
RPO000ETT23000009,3year period contract for the provision of travel related services for students overseas travel for oir,Republic Polytechnic,19/10/2023,Awarded by Items,GOLDEN TRAVEL SERVICES PTE LTD,20
RPO000ETT23000009,3year period contract for the provision of travel related services for students overseas travel for oir,Republic Polytechnic,19/10/2023,Awarded by Items,JTB PTE LTD,60
RPO000ETT22000004,3year period contract for the supply and delivery of electronic electrical components mechanical parts and module kits for seg,Republic Polytechnic,6/7/2022,Awarded by Items,AMICUS ENGINEERING PTE. LTD.,1
RPO000ETT22000004,3year period contract for the supply and delivery of electronic electrical components mechanical parts and module kits for seg,Republic Polytechnic,6/7/2022,Awarded by Items,KOBA ELECTRONICS (SINGAPORE) PTE. LTD.,2
RPO000ETT22000004,3year period contract for the supply and delivery of electronic electrical components mechanical parts and module kits for seg,Republic Polytechnic,6/7/2022,Awarded by Items,SUN LIGHT ELECTRONICS PTE LTD,2
JTC000ETT21000116,3year term contract for engineering surveys,Jurong Town Corporation,15/3/2022,Awarded by Items,CAK & FG SURVEY PTE. LTD.,1
JTC000ETT21000116,3year term contract for engineering surveys,Jurong Town Corporation,15/3/2022,Awarded by Items,YJP SURVEYORS PTE LTD,2
JTC000ETT23000004,3year term contract for procurement of personal protective equipment ppe safety boots and safety eyewear for jtc,Jurong Town Corporation,27/4/2023,Awarded by Items,FLEMINGS SAFETY PTE. LTD.,1
JTC000ETT23000004,3year term contract for procurement of personal protective equipment ppe safety boots and safety eyewear for jtc,Jurong Town Corporation,27/4/2023,Awarded by Items,PDS INTERNATIONAL PTE LTD,1
JTC000ETT20300069,3year term contract for provision of consultancy services for traffic impact assessment tia studies for jtcs developments and industrial estates,Jurong Town Corporation,29/10/2020,Awarded by Items,CPG CONSULTANTS PTE LTD,1
JTC000ETT20300069,3year term contract for provision of consultancy services for traffic impact assessment tia studies for jtcs developments and industrial estates,Jurong Town Corporation,29/10/2020,Awarded by Items,VERTIX ASIA-PACIFIC PTE. LTD.,1
MPA000ETT21000020,3years provision of contract it manpower services to maritime and port authority of singapore,Maritime and Port Authority of Singapore,7/10/2021,Awarded by Items,AVENSYS CONSULTING PTE. LTD.,292
MPA000ETT21000020,3years provision of contract it manpower services to maritime and port authority of singapore,Maritime and Port Authority of Singapore,7/10/2021,Awarded by Items,INFINITE COMPUTER SOLUTIONS PTE LTD,216
MPA000ETT21000020,3years provision of contract it manpower services to maritime and port authority of singapore,Maritime and Port Authority of Singapore,7/10/2021,Awarded by Items,NSEARCH GLOBAL PTE. LTD.,340
MPA000ETT21000020,3years provision of contract it manpower services to maritime and port authority of singapore,Maritime and Port Authority of Singapore,7/10/2021,Awarded by Items,PEOPLESEARCH PTE. LTD.,111
MPA000ETT21000020,3years provision of contract it manpower services to maritime and port authority of singapore,Maritime and Port Authority of Singapore,7/10/2021,Awarded by Items,SCIENTEC CONSULTING PTE. LTD.,300
HOMHQ0ETT18300141,43 year period contract for provision of case management services,Ministry of Home Affairs-Ministry Headquarter,3/4/2019,Awarded by Items,ALLKIN SINGAPORE LTD.,17125000
HOMHQ0ETT18300141,43 year period contract for provision of case management services,Ministry of Home Affairs-Ministry Headquarter,3/4/2019,Awarded by Items,FEI YUE COMMUNITY SERVICES,2799000
HOMHQ0ETT18300141,43 year period contract for provision of case management services,Ministry of Home Affairs-Ministry Headquarter,3/4/2019,Awarded by Items,Lakeside Family Services,2670000
PUB000ETT19300065,44190097wspprovision of laboratory testing for carbon media,Public Utilities Board,28/5/2019,Awarded by Items,MARCHWOOD LABORATORY SERVICES PTE. LTD.,5600
PUB000ETT19300065,44190097wspprovision of laboratory testing for carbon media,Public Utilities Board,28/5/2019,Awarded by Items,TUV SUD PSB PTE. LTD.,3400
PUB000ETT19300128,44190175wsprepair of mechanical equipment and lorry unloading bay at johor river waterworks,Public Utilities Board,4/7/2019,Awarded by Items,HOOK PLUMBING WORKS,6982
PUB000ETT19300128,44190175wsprepair of mechanical equipment and lorry unloading bay at johor river waterworks,Public Utilities Board,4/7/2019,Awarded by Items,UFT STRUCTURE RE-ENGINEERING SDN.BHD.,6336.17
PUB000ETT19300151,44190203wspsupply and delivery of reagents and test kits to laboratory at johor river waterworks,Public Utilities Board,5/8/2019,Awarded by Items,IT TECH RESEARCH (M) SDN.BHD.,19010.45
PUB000ETT19300151,44190203wspsupply and delivery of reagents and test kits to laboratory at johor river waterworks,Public Utilities Board,5/8/2019,Awarded by Items,LELAB SDN.BHD.,14472.08
PUB000ETT19300150,44190205wspsupply and delivery of special gases and replacement of gas manifold for pub advance laboratory at johor river waterworks,Public Utilities Board,6/8/2019,Awarded by Items,AIR PRODUCTS MALAYSIA SDN. BHD.,22668.47
PUB000ETT19300150,44190205wspsupply and delivery of special gases and replacement of gas manifold for pub advance laboratory at johor river waterworks,Public Utilities Board,6/8/2019,Awarded by Items,JAGUAR GAS & ENGINEERING SDN. BHD.,6251.58
