tender_no,award_date,awarded_amt,tender_detail_status,tender_date,tender_value,LDA_Category
ACR000ETT18300010,11/6/2019,2305880,Awarded to Suppliers,2019-06-11,2305880,PPP Procurement - DBO
ACR000ETT19300001,30/4/2019,2035000,Awarded to Suppliers,2019-04-30,2035000,Engineering Procurement - Services
ACR000ETT19300002,29/8/2019,30700373.87,Awarded to Suppliers,2019-08-29,30700373.87,PPP Procurement - DBO
ACR000ETT19300003,6/8/2019,178800,Awarded to Suppliers,2019-08-06,178800,Engineering Procurement - Services
ACR000ETT19300004,5/11/2019,8566830.84,Awarded to Suppliers,2019-11-05,8566830.84,General Procurement - Services
ACR000ETT20300002,10/11/2020,285000,Awarded by Items,2020-11-10,285000,PPP Procurement - DBFO
ACR000ETT20300002,10/11/2020,90000,Awarded by Items,2020-11-10,90000,PPP Procurement - DBFO
ACR000ETT20300003,9/12/2020,182400,Awarded to Suppliers,2020-12-09,182400,General Procurement - Goods
ACR000ETT20300004,9/3/2021,3071056.4,Awarded to Suppliers,2021-03-09,3071056.4,General Procurement - Goods
ACR000ETT21000001,6/9/2021,2321600,Awarded to Suppliers,2021-09-06,2321600,PPP Procurement - DBO
ACR000ETT21000003,14/4/2022,108555723,Awarded to Suppliers,2022-04-14,108555723,PPP Procurement - DBO
ACR000ETT21000004,13/4/2022,4503450,Awarded to Suppliers,2022-04-13,4503450,Engineering Procurement - Services
ACR000ETT22000001,28/6/2022,539600,Awarded to Suppliers,2022-06-28,539600,Engineering Procurement - Services
ACR000ETT22000003,19/3/2023,987850,Awarded to Suppliers,2023-03-19,987850,Engineering Procurement - Services
ACR000ETT23000001,21/6/2023,850000,Awarded by Items,2023-06-21,850000,PPP Procurement - DBFO
ACR000ETT23000001,21/6/2023,562500,Awarded by Items,2023-06-21,562500,PPP Procurement - DBFO
ACR000ETT23000002,18/1/2024,310676.63,Awarded to Suppliers,2024-01-18,310676.63,PPP Procurement - DBFO
