tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt,tender_clean,topic,gamma,LDA_Category
NPB000ETT22000071,provision of cleaning services at animal veterinary service avs centres for a period of three 3 years,National Parks Board,20/12/2022,Awarded to Suppliers,TSM GROUP PTE. LTD.,2707988.4,provision  cleaning services  animal veterinary  avs centres      years,4,0.9555669719540656,Engineering Procurement - Services
NST000ETT21000085,provision of general and technical cleaning for cleanrooms  labs services inclusive of equipment and materials at institute of microelectronics ime premises for a period of 2 years with option to renew for another year,"Agency for Science, Technology and Research",28/10/2021,Awarded by Items,CLEANMAGE PTE. LTD.,340080,provision  general  technical cleaning  cleanrooms labs services inclusive  equipment  materials  institute  microelectronics ime premises     years    renew   ,4,0.9771923245522853,Engineering Procurement - Services
NLB000ETT20300010,invitation to tender for the supply and installation of film for glass panels and windows for national library board,National Library Board,4/1/2021,Awarded by Items,ENG HIN CONSTRUCTION PTE. LTD.,89600,invitation  tender     installation  film  glass panels  windows  national library board,3,0.8579060777673968,Engineering Procurement - Goods
NST000ETT21000174,provision of engineering consultation service for a multipurpose modular pilot plant frontend loading fel 2,"Agency for Science, Technology and Research",20/5/2022,Awarded to Suppliers,ZETA GmbH (AT),125400,provision  engineering consultation    multipurpose modular pilot plant frontend loading fel ,2,0.5291750869849026,General Procurement - Services
NLB000ETT23000033,invitation to tender to provide offsite digitisation services for newspapers for the national library board nlb singapore,National Library Board,8/1/2024,Awarded to Suppliers,CD IMAGING PTE LTD,184.84,invitation  tender   offsite digitisation services  newspapers   national library board nlb ,3,0.9640811793230678,Engineering Procurement - Goods
PUB000ETT19300127,44190114wsprefurbishment and fabrication of various components for equipment at johor river waterworks,Public Utilities Board,28/6/2019,Awarded to Suppliers,SRIMULTEC ENGINEERING SDN. BHD.,62537.21,wsprefurbishment  fabrication   components  equipment  johor river waterworks,7,0.6726448037379134,PPP Procurement - DBFO
CPF000ETT21000009,implementation of api exchange platform and professional support services cpftpo2021tdr028,Central Provident Fund Board,10/6/2021,Awarded to Suppliers,CXRUS SOLUTIONS PTE. LTD.,564100,implementation  api exchange platform  professional support services cpftpotdr,4,0.9555669690195839,Engineering Procurement - Services
SPO000ETT21000056,sporeq2021003667 term contract for the provision of outsourced photocopying services to singapore polytechnic for 2 years from jan 2022 with option to extend for another year for clarifications pls contact phyllis yeo email phyllisyeospedusg or tan hai cheng email tanhaichengspedusg,Singapore Polytechnic,18/3/2022,Awarded to Suppliers,ULTRA SUPPLIES,201328.05,sporeq term contract   provision  outsourced photocopying services   polytechnic  years  jan         clarifications pls contact phyllis yeo email phyllisyeospedusg  tan hai cheng email tanhaichengspedusg,3,0.9832913482563524,Engineering Procurement - Goods
DST000ETT22000012,period contract for the supply and maintenance of data distribution service dds software licences and related services,Defence Science and Technology Agency,29/9/2023,Awarded to Suppliers,"REAL-TIME INNOVATIONS, INC.",875472.41, contract     maintenance  data distribution  dds software licences   services,4,0.54061777912617,Engineering Procurement - Services
HLTHQ0ETT22000009,invitation to tender for part a design development and build for the proposed development of a nursing home at punggol field singapore and part b contingency works,Ministry of Health-Ministry Headquarter,8/11/2022,Awarded to Suppliers,ZHENG KENG ENGINEERING & CONSTRUCTION PTE LTD,38670000,invitation  tender  part  design development  build   proposed development   nursing home  punggol field   part b contingency works,6,0.5694609887298051,PPP Procurement - DBO
HDB000ETT20300174,a design and build of upgrading projects for g29e b contingency works,Housing and Development Board,31/12/2020,Awarded to Suppliers,SCT CONSTRUCTION PTE. LTD.,33975000, design  build  upgrading projects  ge b contingency works,1,0.5853262403118309,General Procurement - Goods
TPO000ETT20300036,invitation to tender for the technology refresh of ddi dns dhcp and ipam services tender ref  tpo000its2320,Temasek Polytechnic,18/2/2021,Awarded to Suppliers,EPECOM GRAPHICS PTE LTD,310170,invitation  tender   technology refresh  ddi dns dhcp  ipam services tender ref tpoits,6,0.9698571236058814,PPP Procurement - DBO
HDB000ETT23000237,instrumentation and monitoring works for proposed public housing development  project ae,Housing and Development Board,29/12/2023,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,119979,instrumentation  monitoring works  proposed public housing development project ae,1,0.9602751617693049,General Procurement - Goods
